id,name,meaning,kanji,part,old_wordbook_id,created_at,updated_at
1,ぎゃう,かわいらしさ,愛嬌,形容詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
2,あいなし,つまらない,合なし,形容詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
3,あかつき,夜明け,暁,名詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
4,あからさまなり,突然だ　わずかだ,ー,形容動詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
5,あからめ,よそ見・浮気,ー,名詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
6,あきらむ,はっきりさせる,明らむ,動詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
7,あく,満足する,飽く,動詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
8,あくがる,さまよい歩く,ー,動詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
9,あさまし,情けない,浅まし,形容詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
10,あざる,ふざける,戯る,動詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
11,あし,悪い,悪し,形容詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
12,あした,あしたの朝,朝,名詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
13,あそび,詩歌・音楽,遊び,名詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
14,あだ,無駄なこと。,徒,名詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
15,あだなり,無駄だ,徒なり,形容動詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
16,あたらし,もったいない,新し,形容詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
17,あぢきなし,つまらない,味気なし,形容詞,1,2020-10-16 01:02:18 +0900,2020-10-16 01:02:18 +0900
