id,teacher_id,student_id,category,content,created_at,updated_at,image
4,1,1,勉強内容,システィーナ礼拝堂天井画,2020-09-09 01:04:30 +0900,2020-09-09 01:04:30 +0900,1BD84226-A154-433D-9D8D-5233C1034E5D.jpeg
6,1,9,勉強内容,"In both Intances , friends can make a dramatic difference

の訳は
両方の場合、友人はとても(劇的に)重要である
なら訳的にしっくりくるのですが、canはどのような形で訳すのが良いでしょうか？",2020-09-12 08:26:50 +0900,2020-09-12 08:26:50 +0900,
7,1,1,勉強内容,メールメッセージマージ後テスト,2020-09-13 10:11:59 +0900,2020-09-13 10:11:59 +0900,
8,1,9,勉強内容,"単語についての質問です。
Parliament(英国の議会) Congress(米国の議会)
とあるのですが、Congress ○○ than Parliament
のような文章に同時に出てくるケースで使われるのか知りたいです。
",2020-09-15 18:48:33 +0900,2020-09-15 18:48:33 +0900,
9,1,10,勉強内容,この問題分からないです。,2020-09-15 22:55:33 +0900,2020-09-15 22:55:33 +0900,IMG_20200915_225259.jpg
10,1,9,勉強内容,"arctic という単語についてです、
一応単語帳には北極のという意味で書いてあり、後に(しばしばA-)という風に書いてあるのですが、頻度的にしばしばAはどのくらい出て来るでしょうか？",2020-09-17 21:23:06 +0900,2020-09-17 21:23:06 +0900,
11,1,9,その他,小テストについての質問です、今回の22章の重要多義語についてどのような形で出題する予定でしょうか？,2020-09-26 18:20:51 +0900,2020-09-26 18:20:51 +0900,
13,1,10,その他,"慶経2015[4](2)n=20、(3)は分からないです。
上智2015[1](2)x=−1で極大値−1/4+3√2/4
                           x=−1/2で極小値3/2−√2/2
√はルートです。
",2020-09-28 23:09:27 +0900,2020-09-28 23:09:27 +0900,
14,1,10,勉強内容,"この問題の(1)の解答の上から5行目から下の式変形が分からないです。
あと、(4)も分からないです。
写真を複数枚送っておくのでお願いします。",2020-09-29 23:29:56 +0900,2020-09-29 23:29:56 +0900,IMG_20200929_232408.jpg
15,1,10,勉強内容,2枚目です。,2020-09-29 23:31:20 +0900,2020-09-29 23:31:20 +0900,IMG_20200929_232544.jpg
16,1,10,勉強内容,3枚目です。,2020-09-29 23:31:44 +0900,2020-09-29 23:31:44 +0900,IMG_20200929_232628.jpg
17,1,10,勉強内容,ラストです。,2020-09-29 23:32:01 +0900,2020-09-29 23:32:01 +0900,IMG_20200929_232632.jpg
18,1,10,勉強内容,"上智2013[2]セ:−2 ソ:2 タ:−1 チ:2 ツ:−1 テ:3 ト:3 ナ:2 ニ:4 ヌ:3 
慶経2016[1]12:−2 34:06 5:6 6:1 789:−72 10:2 1112:10
あとの過去問と一対一p123の演習題10の(3)が分からないです。",2020-10-04 22:03:26 +0900,2020-10-04 22:03:26 +0900,
19,1,10,勉強内容,"2014年早稲田社学? 1(2)a≦4 (3)a≦−21
2015年早稲田社学? 1(1)4cos3乗θ−3cosθ (2)(ⅱ)−1/4≦k≦1/4,−1/2≦1/2 (3)は分からないです。",2020-10-10 22:55:50 +0900,2020-10-10 22:55:50 +0900,
20,1,10,勉強内容,"慶経2013[1]答、5,−27,5,6,1/1,5/3",2020-10-11 22:52:13 +0900,2020-10-11 22:52:13 +0900,
21,1,9,勉強内容,"TARGETの方でevenが副詞として出てきているのですが、こちらのテストでは形容詞の意味水平なっていました
上の表示まで確認できてないのですが報告しておきます",2020-10-18 18:27:40 +0900,2020-10-18 18:27:40 +0900,
22,1,9,勉強内容,section2のcharge詰めるの意味は書いておらず、料金でした,2020-10-18 18:35:35 +0900,2020-10-18 18:35:35 +0900,
28,1,9,その他,"単語テストにおいて
500～600のincidentという単語が出来事という選択肢が2つでてきて、間違え判定になってしまいました。
この質問の下に正誤があると思います
あと細かいですが、permitがpernitになってた気がします",2020-10-22 23:39:07 +0900,2020-10-22 23:39:07 +0900,
29,1,11,勉強内容,"単語テスト、まだやってなくてすみませんでした。
2014早稲田のペットの問題の質問で
1代目のペットが亡くなって、2代目を飼う人と飼わない人の違いを説明する文章でオレンジの蛍光ペンのdecideがどの部分にかかっているのか分かりません
御教授お願いします。",2020-10-24 19:33:27 +0900,2020-10-24 19:33:27 +0900,20201024103327.jpg
30,1,10,勉強内容,"河合塾の全統記述模試の結果が出たのでお知らせしておきます。
予想通り英語と国語が低かったです……。",2020-10-24 22:59:50 +0900,2020-10-24 22:59:50 +0900,20201024135950.jpg
32,1,10,勉強内容,"駿台模試です。
予想通りどの科目もひどかったです。
２枚送ります。",2020-10-27 22:53:18 +0900,2020-10-27 22:53:18 +0900,20201027135318.jpg
33,1,10,勉強内容,2枚目です。,2020-10-27 22:53:45 +0900,2020-10-27 22:53:45 +0900,20201027135345.jpg
34,1,1,勉強内容,なぜサーバーが落ちてるのですか？？いい加減にしてください。可用性もクソもありません。,2020-11-01 16:06:58 +0900,2020-11-01 16:06:58 +0900,
